x eps	logit.p	p	u	y
0.085064511	-0.097963983	2.157229549	0.896342421	0.451522071	1
-0.509568948	0.030115947	0.501409102	0.622790418	0.580864185	1
1.032763174	0.198621683	5.296911205	0.99501791	0.362516466	1
0.119771696	-0.086824251	2.272490836	0.906572971	0.512857971	1
-0.149130428	-0.060162136	1.49244658	0.816445207	0.762824782	1
-0.624427682	0.120555592	0.247272546	0.561505068	0.045508026	1
-1.034789943	0.052747535	-1.051622293	0.258913698	0.201601365	1
-1.224163214	-0.090957172	-1.763446812	0.146359176	0.241458365	0
0.10138808	-0.020881143	2.283283097	0.907483057	0.407966991	1
-0.611233384	-0.084752361	0.081547487	0.520375582	0.968901901	0
-0.296458414	-0.12993414	0.980690619	0.727245229	0.182902755	1
-1.829841335	-0.159617002	-3.649141006	0.025353921	0.798248526	0
-0.961464939	-0.094285507	-0.978680324	0.273153715	0.201659996	1
-1.318387256	0.134035416	-1.821126351	0.139298775	0.410188598	0
0.806950733	0.101739709	4.522591906	0.989255854	0.746306992	1
-1.086974828	-0.03335112	-1.294275605	0.21513	0.950251241	0
-0.306998251	0.186849027	1.265854273	0.780032242	0.11968023	1
-1.091909139	-0.03645002	-1.312177436	0.212122708	0.62829416	0
1.447896329	-0.091696478	6.251992508	0.998077093	0.489882184	1
1.733125305	-0.228821097	6.970554818	0.999061749	0.307144345	1
-0.239712068	0.027604792	1.308468589	0.787256783	0.670004643	1
0.049024741	0.083353709	2.230427932	0.902948866	0.873680965	1
-1.852128061	-0.019024365	-3.575408547	0.027241123	0.820718043	0
-0.230445197	0.13979484	1.448459248	0.809761198	0.90004762	0
1.050457185	0.043784569	5.195156125	0.994487209	0.949248354	1
1.311782049	-0.164385649	5.770960497	0.996892922	0.930719855	1
-0.498320434	-0.004265768	0.500772929	0.622640955	0.740040982	0
0.113965387	0.133897715	2.475793876	0.922427362	0.454070692	1
1.378007133	-0.153687224	5.980334176	0.997478393	0.232370284	1
-0.206043012	0.109750291	1.491621255	0.816321489	0.503892114	1
-0.196833093	-0.036411954	1.373088767	0.797878732	0.470347282	1
-0.516006238	0.034793883	0.48677517	0.619346451	0.240300736	1
0.095231432	0.016772886	2.302467182	0.909081164	0.006065716	1
-0.311053164	-0.073517977	0.993322532	0.729743685	0.0028149	1
-0.700953476	0.046197597	-0.056662831	0.485838081	0.864100772	0
0.497141622	0.044967005	3.536391872	0.97170568	0.332779175	1
0.794595635	0.134197979	4.517984885	0.989206776	0.655444908	1
-1.691488297	0.296039389	-2.7784255	0.058501217	0.894176311	0
-0.265699548	-0.147296332	1.055605025	0.741849765	0.550690025	1
-0.970080725	-0.021959797	-0.932201972	0.282478196	0.278425923	1
2.085255168	-0.149296748	8.106468757	0.999698509	0.928629938	1
0.47834862	0.135397067	3.570442927	0.972626984	0.786187091	1
-0.473453375	0.063116135	0.642756011	0.655376195	0.784430659	0
0.521010618	0.014055173	3.577087028	0.97280332	0.476108246	1
-0.775873223	-0.028911409	-0.356531079	0.411799553	0.464845644	0
-0.143842531	0.170970897	1.739443303	0.850616341	0.648892246	1
0.402589875	0.012644938	3.220414564	0.961595327	0.271757877	1
1.695571784	-0.17889409	6.907821261	0.999001065	0.029396007	1
-1.247549611	-0.055532516	-1.798181348	0.142072592	0.136409921	1
0.291545152	-0.052368869	2.822266586	0.943867275	0.329369259	1
