y	group	x1	x2
355.5422611	1	1	1
237.8782905	1	2	2
354.8898588	1	3	3
285.944889	1	4	4
284.6793178	1	5	5
261.3596592	1	6	1
282.1238719	1	7	2
418.2447459	1	8	3
353.2414459	1	9	4
321.6557348	1	10	5
267.9000963	2	1	1
295.4892016	2	2	2
318.2553756	2	3	3
337.7874743	2	4	4
317.5227446	2	5	5
275.4852225	2	6	1
363.5820268	2	7	2
286.654105	2	8	3
376.6039097	2	9	4
361.4476891	2	10	5
333.6070918	3	1	1
231.4821	3	2	2
258.3187505	3	3	3
381.0490243	3	4	4
357.6725221	3	5	5
396.3505611	3	6	1
346.3884107	3	7	2
303.0545933	3	8	3
323.0670686	3	9	4
319.2181282	3	10	5
